"","CLIENT_HASH_ID","CONTRACT_HASH_ID","TERM","CONTRACT_SUM","CURRENT_SUM","CURRENT_INTEREST_RATE","OPEN_DATE","PLAN_CLOSE_DATE","FACT_CLOSE_DATE","PRODUCT","CONTRACT_TYPE","CURRENT_PRINCIPAL_SUM","F1","GENDER","AGE"
"18186","14388d5d82555ab045a2327de6de904a","4105db638fa18cf6fc33f07efa942779","(null)","0",0,"0","2014-10-18 00:00:00","(null)","(null)","Текущий счёт","D","(null)","5213e792098c90e356b18861f64570af","М",18
"18243","1443535102f8c3956b7637955e4d12e3","497861e443c8b637666712f24143e40e","(null)","0",0,"0","2013-12-12 00:00:00","(null)","(null)","Текущий счёт","D","(null)","018d34d8d97fe30fd4347602b8031ec4","Ж",22
"18244","1443535102f8c3956b7637955e4d12e3","24c05386f6953aac39b1672d5f705e85","(null)","0",3000,"0","2013-07-24 00:00:00","(null)","(null)","Текущий счёт","D","(null)","018d34d8d97fe30fd4347602b8031ec4","Ж",22
"18245","1443535102f8c3956b7637955e4d12e3","d645b4bc62803d07f22a45f90ff78107","(null)","100",0,"0","2013-07-09 00:00:00","(null)","2015-09-14 00:00:00","Текущий счёт","D","(null)","018d34d8d97fe30fd4347602b8031ec4","Ж",22
"18246","1443535102f8c3956b7637955e4d12e3","f12a47bdc018f06f9412e48b37b1262f","(null)","0",0,"0","2013-11-19 00:00:00","(null)","2014-05-17 00:00:00","Текущий счёт","D","(null)","018d34d8d97fe30fd4347602b8031ec4","Ж",22
"18247","1443535102f8c3956b7637955e4d12e3","f83fb7df1db5ec7f82e3bf1bbeca8728","(null)","0",1800,"0","2013-07-02 00:00:00","(null)","(null)","Текущий счёт","D","(null)","018d34d8d97fe30fd4347602b8031ec4","Ж",22
"18308","145248a6e5f971cf97472d176fcc9aa9","108cd5b9d9ef42ca32a1fcad2c5eabf6","(null)","0",4200,"0","2015-04-27 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","М",22
"18309","145248a6e5f971cf97472d176fcc9aa9","5396f9f05ca2ca5383abc71e85a09ab2","(null)","0",4700,"0","2014-09-09 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","М",22
"18310","145248a6e5f971cf97472d176fcc9aa9","2eb215800d1a9e34caa3c62672d3ebe2","(null)","0",0,"(null)","2012-10-26 00:00:00","(null)","2014-10-14 00:00:00","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","М",22
"18577","1498fc8e7c83717a1d912b6334a97069","6a26bc44feda99facf563cee3f7ec916","(null)","0",100,"0","2015-04-27 00:00:00","(null)","(null)","Текущий счёт","D","(null)","8215444bab327ec0f170d0ef7296c026","М",21
"18578","1498fc8e7c83717a1d912b6334a97069","28e29fdf1b7855f50202e202959a19c3","(null)","300",6900,"0","2014-10-01 00:00:00","(null)","(null)","Текущий счёт","D","(null)","8215444bab327ec0f170d0ef7296c026","М",21
"18614","14a292a47cc5a643cc1670a2e37eb916","d6436751cd090ad2d2ceca1f23602ab9","(null)","0",0,"0","2014-09-24 00:00:00","(null)","(null)","Текущий счёт","D","(null)","3dfbcfdf96da35c17688cd96b5a94578","Ж",23
"18620","14a52fb8190e39ec932dc6f0669c4362","d42e06ba1dcb870299d4251e3e9ca4c6","(null)","0",300,"0","2013-09-12 00:00:00","(null)","(null)","Текущий счёт","D","(null)","385043f3881c79a5959ab4c3145f8aa8","Ж",20
"18790","14c86944653945b1dad64fe13975668b","f7d5a73ac705dd4d4a1408ae7eb32e33","(null)","0",700,"0","2013-09-13 00:00:00","(null)","(null)","Текущий счёт","D","(null)","b871449af47f30db11ef29b52e39819d","Ж",21
"18820","14ca9529d87fc0e4ab1a649d19f6eba2","23c69177f0baaf4146571a1f0b25b34a","(null)","0",0,"0","2012-10-10 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","М",20
"18821","14ca9529d87fc0e4ab1a649d19f6eba2","b8f43d32fb7c1a7b2b4062f69305b2f6","(null)","(null)",0,"18","2015-01-21 00:00:00","(null)","(null)","Овердрафт","C","0","309e6b5acaa01d889ed303cf65a72dbe","М",20
"18822","14ca9529d87fc0e4ab1a649d19f6eba2","2bec780d86d46232cc35bc1691bd71f6","(null)","0",0,"0","2014-12-25 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","М",20
"18862","14d82c4a9dae401a71537a108edef6a0","57d83943a30f2402e389d70a0d01fe2f","(null)","0",0,"0","2013-09-28 00:00:00","(null)","(null)","Текущий счёт","D","(null)","8215444bab327ec0f170d0ef7296c026","Ж",21
"18869","14dac20c99f6d06b1dc5c4b841b840e6","5cfe123ef7080e7b306a75164dec5d1b","(null)","0",5900,"0","2014-09-10 00:00:00","(null)","(null)","Текущий счёт","D","(null)","a1fffaa77ff30165958613b698dc8fd5","Ж",20
"18927","14ebe932a4db781023ca2e57c38522e6","933bf699945074257a4e8340e3634b58","(null)","0",0,"0","2014-10-14 00:00:00","(null)","(null)","Текущий счёт","D","(null)","381b0b043094c8cf1fc0e5ecd17a4461","М",20
"19081","151d799c234fe737ace84a6b35ce96fe","8e5ad6eafd61698e684601a91fb40044","(null)","100",0,"0","2014-08-16 00:00:00","(null)","(null)","Текущий счёт","D","(null)","385043f3881c79a5959ab4c3145f8aa8","Ж",21
"19171","153273a1e55ad60de2a550fdca704908","a430e8a160c3c790ee55edffa11f76ff","(null)","0",0,"0","2014-09-09 00:00:00","(null)","(null)","Текущий счёт","D","(null)","385043f3881c79a5959ab4c3145f8aa8","М",19
"19306","1556d831315a503fc283f4bd693ce82c","c7d140ae5e043f0750a28bd1466dc6d8","(null)","0",0,"0","2014-01-02 00:00:00","(null)","(null)","Текущий счёт","D","(null)","8215444bab327ec0f170d0ef7296c026","М",22
"19307","1556d831315a503fc283f4bd693ce82c","b458c9d4841af1aafab580aaa7a5a108","(null)","0",0,"0","2013-12-27 00:00:00","(null)","(null)","Текущий счёт","D","(null)","8215444bab327ec0f170d0ef7296c026","М",22
"19354","1563c1c5a880c4117d20f31524f059ec","f2805f17b13b518a8d72dfa9051abf53","(null)","0",0,"0","2011-10-11 00:00:00","(null)","(null)","Текущий счёт","D","(null)","3dfbcfdf96da35c17688cd96b5a94578","Ж",23
"19432","158048b8a82b9f07ac90a6b5e770da92","3fa8f9c1a1bdd211758b0d66cececa01","(null)","0",8300,"0","2014-08-21 00:00:00","(null)","(null)","Текущий счёт","D","(null)","381b0b043094c8cf1fc0e5ecd17a4461","М",20
"19433","15811c685ffa8aa96ed52361e96c6736","9816a0fe2cc85bed3cd7d48d23768830","(null)","(null)",700,"18","2014-10-30 00:00:00","(null)","(null)","Овердрафт","C","0","97fa64500457edb6fe17b0acdaf218b2","М",20
"19434","15811c685ffa8aa96ed52361e96c6736","5c1f5f89482e669e3d35b910568777e4","(null)","0",300,"0","2013-09-01 00:00:00","(null)","(null)","Текущий счёт","D","(null)","97fa64500457edb6fe17b0acdaf218b2","М",20
"19509","15a072b99b1901634d82a34acaed1792","eb0ee0409c5e5f29f6b761aacebabc85","(null)","0",5900,"0","2014-10-16 00:00:00","(null)","(null)","Текущий счёт","D","(null)","8215444bab327ec0f170d0ef7296c026","Ж",22
"19530","15a6c1f3ffbeb8b9cf0c210a25eff07b","669a40492245005011a00aafb8acc3b4","(null)","0",0,"0","2011-09-29 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","М",23
"19551","15b00b971579735bf7df1394f0906175","07399c8c6940492336c2cd90ede39722","(null)","0",0,"0","2014-05-27 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","Ж",22
"19552","15b00b971579735bf7df1394f0906175","8fbcdd27de5444ff32b66b4a927b8645","(null)","6500",0,"0","2011-10-21 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","Ж",22
"19553","15b00b971579735bf7df1394f0906175","8919197ac00ea178a3c639b87984d933","(null)","200",0,"0","2010-09-15 00:00:00","(null)","2014-05-28 00:00:00","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","Ж",22
"19554","15b00b971579735bf7df1394f0906175","ed9a736fcd921d25b8f32665b8ba16e2","(null)","400",0,"0","2015-09-29 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","Ж",22
"19555","15b00b971579735bf7df1394f0906175","535b11b9870c46a6385ff4680e3f11e1","(null)","0",0,"0","2015-02-11 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","Ж",22
"19559","15b6bebdbb43b5a377c3d4491ab9aa80","018de993d705f39225cdc1a70f21fc6e","(null)","0",7600,"0","2009-10-03 00:00:00","(null)","(null)","Текущий счёт","D","(null)","6ede6f872f8d56aa83876b96bcde60d4","Ж",24
"19562","15ba22afa31bd30376c47d735bb61e3a","0f4e4a415f81a00faa1a49df0cc71998","(null)","0",0,"0","2014-10-21 00:00:00","(null)","(null)","Текущий счёт","D","(null)","b628d7d2ba91a097a131c51788e8c4ea","М",18
"19588","15c28022f64c5b86e704c20a19c86124","db2b050194699d25fcd138a174fd4ca4","(null)","0",0,"0","2014-08-21 00:00:00","(null)","(null)","Текущий счёт","D","(null)","97fa64500457edb6fe17b0acdaf218b2","М",21
"19635","15d5398b5a2a9a8b8a92964c73d6b94f","c7053cd45ac5049b3584de4d516ad6ad","(null)","0",200,"0","2011-11-14 00:00:00","(null)","(null)","Текущий счёт","D","(null)","263c6b32daca30743034adbd1f68a5fc","М",21
"19665","15d871530e33e474eb64b3480e23524a","31cfe4ee1c7fb3d9c764dcff6df65b13","(null)","0",100,"0","2013-09-19 00:00:00","(null)","(null)","Текущий счёт","D","(null)","fe413a3ae1fa1e6e1b7508863bf7ad0d","М",18
"19691","15eb49a2cfbdbbf006b2705e7c3dc992","3f33c42b132dce11b630a11cc35a3fd9","(null)","(null)",0,"18","2015-03-24 00:00:00","(null)","(null)","Овердрафт","C","0","8215444bab327ec0f170d0ef7296c026","М",21
"19692","15eb49a2cfbdbbf006b2705e7c3dc992","83fe27809f878c02e209639da5bce149","(null)","0",0,"0","2012-09-12 00:00:00","(null)","(null)","Текущий счёт","D","(null)","8215444bab327ec0f170d0ef7296c026","М",21
"19760","16084d3aa9a352c124659a6a96c3257b","400f53aa12778dd8e96d93cbc730a9af","(null)","0",0,"0","2014-10-04 00:00:00","(null)","(null)","Текущий счёт","D","(null)","381b0b043094c8cf1fc0e5ecd17a4461","Ж",20
"19764","160e115575dc70682e4fa02737ac36c4","76bb2f8ed32d51e230c31285583d2d77","(null)","0",0,"0","2012-09-19 00:00:00","(null)","(null)","Текущий счёт","D","(null)","018d34d8d97fe30fd4347602b8031ec4","М",20
"19883","1624a211b12a57410b1e16dcac7c456c","c9b839bfe34468dd31d5e1011271f289","(null)","0",200,"0","2014-03-25 00:00:00","(null)","(null)","Текущий счёт","D","(null)","263c6b32daca30743034adbd1f68a5fc","Ж",20
"19933","163eceaa4c92df3ecd2ea89bf086cb6b","961fc61c5a05185802c0c35a67292638","(null)","0",100,"0","2014-08-07 00:00:00","(null)","(null)","Текущий счёт","D","(null)","018d34d8d97fe30fd4347602b8031ec4","М",21
"19934","163eceaa4c92df3ecd2ea89bf086cb6b","fce0ddf52631c5a24a55f983f559193a","(null)","0",0,"0","2014-08-09 00:00:00","(null)","(null)","Текущий счёт","D","(null)","018d34d8d97fe30fd4347602b8031ec4","М",21
"20072","166bc0645083a370419ec5aa7c0358d1","03465aa8d3533365e4bb221d06372359","(null)","0",0,"0","2014-09-24 00:00:00","(null)","(null)","Текущий счёт","D","(null)","8215444bab327ec0f170d0ef7296c026","Ж",18
"20081","166ee6ed7f8eae1d9097b31bce263668","9a2fc6eb7cce7380c41032ef15a60525","(null)","0",1300,"0","2013-09-14 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","Ж",21
"20114","16765f2e6708ff5ecfbfde2dbd1657c1","376935e6149c30d12b39e1b4e6df6111","(null)","0",100,"0","2014-10-02 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","Ж",18
"20156","167d8f8ca16acb90e79954818a05f05e","ae7d054174088f60ec005411a7ecfaf9","(null)","0",0,"0","2010-09-17 00:00:00","(null)","(null)","Текущий счёт","D","(null)","385043f3881c79a5959ab4c3145f8aa8","Ж",23
"20157","167d8f8ca16acb90e79954818a05f05e","619df11a3aa7fbdfe99325662a11b955","(null)","0",0,"0","2016-04-12 00:00:00","(null)","(null)","Текущий счёт","D","(null)","385043f3881c79a5959ab4c3145f8aa8","Ж",23
"20161","167e1531940395f1450e0af96f3ecee8","1a70ad202940dbb1a1a25a0f028d5e40","(null)","0",6400,"3","2012-11-08 00:00:00","(null)","(null)","Текущий счёт","D","(null)","8215444bab327ec0f170d0ef7296c026","Ж",23
"20165","16804323cc8be4626ba45ce523b4c617","cceb757f4e3719cccf1335786091e73a","(null)","0",8400,"0","2014-09-11 00:00:00","(null)","(null)","Текущий счёт","D","(null)","3dfbcfdf96da35c17688cd96b5a94578","Ж",20
"20248","169e2ff88b1e6336a73cd07953631b0f","6ed50984851f1da5e21ad4998d842198","(null)","(null)",0,"18","2015-01-31 00:00:00","(null)","(null)","Овердрафт","C","0","fe413a3ae1fa1e6e1b7508863bf7ad0d","Ж",22
"20249","169e2ff88b1e6336a73cd07953631b0f","49c7b8b6d435d55a0533cd89b370821e","(null)","0",0,"0","2011-09-13 00:00:00","(null)","(null)","Текущий счёт","D","(null)","fe413a3ae1fa1e6e1b7508863bf7ad0d","Ж",22
"20250","169e2ff88b1e6336a73cd07953631b0f","ad4a28f4305264ff46ce10a691a65edc","(null)","0",0,"0","2014-09-06 00:00:00","(null)","(null)","Текущий счёт","D","(null)","fe413a3ae1fa1e6e1b7508863bf7ad0d","Ж",22
"20294","16af69fb284fc3747e61c17f80669206","e6349b9971435d1f40be1e41a105fb7f","(null)","0",200,"0","2011-09-22 00:00:00","(null)","(null)","Текущий счёт","D","(null)","0e521f30657448f205ecf7a46e4105c0","Ж",21
"20295","16b148dec16c33a41c66439feb911e35","4ac91099ab9dc0f2da1640365509ecbd","(null)","0",0,"0","2013-09-04 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","Ж",20
"20317","16c0df3edeef1b32485f403a30a9ccf9","38bb92544a404a986656325d5fc86e4c","(null)","1700",0,"0","2013-09-13 00:00:00","(null)","(null)","Текущий счёт","D","(null)","97fa64500457edb6fe17b0acdaf218b2","Ж",20
"20400","16d77687d98d7e93d5f98ed78f27a39e","08b01ae052c4accb6cd312a824ce81d4","(null)","0",28000,"0","2013-07-20 00:00:00","(null)","(null)","Текущий счёт","D","(null)","1ca2d30ce0631cee23b98dfc2d24bdcf","М",21
"20401","16d77687d98d7e93d5f98ed78f27a39e","a01c665b9ff2f96cda025ac3fd3c929a","(null)","0",0,"0","2013-12-11 00:00:00","(null)","(null)","Текущий счёт","D","(null)","1ca2d30ce0631cee23b98dfc2d24bdcf","М",21
"20402","16d77687d98d7e93d5f98ed78f27a39e","f7f3dbc21db3bc2f001aeb13256a9b0e","(null)","0",0,"0","2015-08-04 00:00:00","(null)","(null)","Текущий счёт","D","(null)","1ca2d30ce0631cee23b98dfc2d24bdcf","М",21
"20421","16da40c45de40a7a70619e7c62d1313c","9d0ddea24280d83a44cb0fab1212c4a4","(null)","0",0,"0","2014-07-29 00:00:00","(null)","2014-09-24 00:00:00","Текущий счёт","D","(null)","6ede6f872f8d56aa83876b96bcde60d4","М",24
"20422","16da40c45de40a7a70619e7c62d1313c","f1fd8486eadead9ffd1a91176f02d03f","(null)","0",0,"0","2014-08-15 00:00:00","(null)","(null)","Текущий счёт","D","(null)","6ede6f872f8d56aa83876b96bcde60d4","М",24
"20423","16da40c45de40a7a70619e7c62d1313c","039ad494bf272a5c1b2697ce750d210b","(null)","0",0,"0","2010-09-25 00:00:00","(null)","(null)","Текущий счёт","D","(null)","6ede6f872f8d56aa83876b96bcde60d4","М",24
"20424","16da40c45de40a7a70619e7c62d1313c","a68052074dd0a6ff7346f67ca4926a5d","(null)","(null)",0,"18","2015-11-02 00:00:00","(null)","(null)","Овердрафт","C","0","6ede6f872f8d56aa83876b96bcde60d4","М",24
"20519","16e57d97422bb8bb7758402730541924","ee069bb34d6920f9a4e09a25ee53b0f0","(null)","600",0,"0","2014-07-25 00:00:00","(null)","(null)","Текущий счёт","D","(null)","bac64815dc7b441809c1d4de833ef9fd","М",21
"20629","1722fae97cc3930abdf441a720dc9235","76e305b64a1a35cd2e04ae0182dd279c","(null)","0",0,"0","2012-09-04 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","Ж",21
"20684","172c34b5d80affa9f9342f7c0583e73c","b68d0e878a6090a28538937cc62f2249","(null)","0",0,"0","2011-11-14 00:00:00","(null)","(null)","Текущий счёт","D","(null)","b871449af47f30db11ef29b52e39819d","Ж",22
"20847","1754a6db80ad089e71d6f1f24a34de15","aff18c18f6bef8682a29d1e69d184111","(null)","0",100,"0","2014-10-04 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","М",20
"20867","1759c6f160aeb3ba729dd886fcebd2de","6a9ee5c8b2de5390f082c2d22a07db78","(null)","0",1700,"0","2014-09-20 00:00:00","(null)","(null)","Текущий счёт","D","(null)","8df3acb67e47faaeb753cc9a4c6ced3e","М",19
"20881","1762d731c6bf0528905e440ccc3d8ef1","b7be609e4cbb51b3ac39461a605acdb7","(null)","0",0,"0","2014-01-22 00:00:00","(null)","(null)","Текущий счёт","D","(null)","385043f3881c79a5959ab4c3145f8aa8","М",21
"20882","1766d3ac11647ec547064bb0882c5610","60646a18141f3d3f03a0cf5f68e33ac5","(null)","0",0,"0","2013-10-23 00:00:00","(null)","(null)","Текущий счёт","D","(null)","71e1e42d79887c04b571828357d5f37e","Ж",19
"20905","176b49ddff48c563c7a7e475413f1ea0","d386c197aa151de639c2e0b9b4c99b0f","(null)","0",0,"0","2012-08-03 00:00:00","(null)","(null)","Текущий счёт","D","(null)","71e1e42d79887c04b571828357d5f37e","Ж",22
"20992","1786ed1c88855717bdc962e8d0fc1365","351da774688dfa5942f68d808abc0c07","(null)","0",0,"0","2013-10-12 00:00:00","(null)","(null)","Текущий счёт","D","(null)","bac64815dc7b441809c1d4de833ef9fd","М",19
"20993","1786ed1c88855717bdc962e8d0fc1365","70b67b4e10c7b8d80bfeac55dd67053a","(null)","0",0,"0","2013-07-20 00:00:00","(null)","(null)","Текущий счёт","D","(null)","bac64815dc7b441809c1d4de833ef9fd","М",19
"21010","17895b1eb3a43bfe8149a96d5dfd1296","84e140d4bb2390d7f7e65c4513d6aa8c","(null)","0",300,"0","2014-09-18 00:00:00","(null)","(null)","Текущий счёт","D","(null)","0e521f30657448f205ecf7a46e4105c0","Ж",18
"21039","179356129f958f476e8ab544dd38d323","c2f5dbf8d761235c73fc9dd6753b313f","(null)","0",0,"0","2014-11-08 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","М",18
"21060","17977f30b3d381cd7746119182da9b33","465c93899637d76c08107685b948945a","(null)","(null)",0,"18","2015-02-19 00:00:00","(null)","(null)","Овердрафт","C","0","db96a8c8cf0715541dd5d9fd96529ac4","Ж",23
"21061","17977f30b3d381cd7746119182da9b33","551706bde3c4422fe80b2ae22c523a62","(null)","0",0,"0","2014-10-01 00:00:00","(null)","(null)","Текущий счёт","D","(null)","db96a8c8cf0715541dd5d9fd96529ac4","Ж",23
"21285","17c844e1ee3a05d249ee02c25cfb2133","7948e334d23f786a60946c9868b77c86","(null)","0",0,"0","2016-09-01 00:00:00","(null)","(null)","Текущий счёт","D","(null)","14aa590a6630a7dd9a4233b8b8182100","Ж",21
"21286","17c844e1ee3a05d249ee02c25cfb2133","a5bb115b886a9d28c6de7d4b4e746aea","(null)","0",0,"0","2012-09-22 00:00:00","(null)","(null)","Текущий счёт","D","(null)","14aa590a6630a7dd9a4233b8b8182100","Ж",21
"21349","17d677d5617db6de332ed36c1a2941e5","27bd0825adc1d7e5dcc3c8bfc8d288a4","(null)","0",0,"0","2011-10-14 00:00:00","(null)","(null)","Текущий счёт","D","(null)","bac64815dc7b441809c1d4de833ef9fd","Ж",23
"21387","17de3ce357376c90fa780ac91ce006cc","8c6d7f1437307ee66a8b7bea61f8f2a8","(null)","0",0,"0","2014-06-13 00:00:00","(null)","(null)","Текущий счёт","D","(null)","8215444bab327ec0f170d0ef7296c026","М",22
"21425","17e225d1935b7dc0c21a7d48f79d6a4c","1cf2252c59e3706f66e49ee49afa5ff8","(null)","0",0,"0","2012-09-22 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","Ж",20
"21426","17e225d1935b7dc0c21a7d48f79d6a4c","404df092b1bdebae2ce8db7996442b00","(null)","(null)",0,"18","2016-07-02 00:00:00","(null)","(null)","Овердрафт","C","0","309e6b5acaa01d889ed303cf65a72dbe","Ж",20
"21459","17e5a696d082d3dc41cb3b6ec268cbee","14eb491a887a4fb84ba081a255709ed4","(null)","0",0,"0","2014-09-12 00:00:00","(null)","(null)","Текущий счёт","D","(null)","b628d7d2ba91a097a131c51788e8c4ea","М",19
"21483","17e82e66b1f2f0c204bdc7f365de97f1","30e38615af5da880a42e0e4020868073","(null)","0",0,"0","2014-05-29 00:00:00","(null)","(null)","Текущий счёт","D","(null)","7d33c54b3363042d090cb011b215279c","Ж",24
"21484","17e82e66b1f2f0c204bdc7f365de97f1","47db7977d9a7a82ddef640c199f8e049","(null)","0",0,"0","2014-05-27 00:00:00","(null)","(null)","Текущий счёт","D","(null)","7d33c54b3363042d090cb011b215279c","Ж",24
"21533","17f95e5e24a5f59db7e9798bf2857c94","18bae480499efbe80a123d540d203dbb","(null)","0",0,"0","2012-10-06 00:00:00","(null)","(null)","Текущий счёт","D","(null)","a1fffaa77ff30165958613b698dc8fd5","Ж",22
"21548","1803eaac091e12040e9e26830a19e35e","0c21ddf02e0e84731f47d60eb10886e7","(null)","0",0,"0","2015-01-20 00:00:00","(null)","(null)","Текущий счёт","D","(null)","381b0b043094c8cf1fc0e5ecd17a4461","Ж",19
"21549","1803eaac091e12040e9e26830a19e35e","ad6a69c71345c94099050fd824e1a0b1","(null)","0",25000,"0","2014-09-11 00:00:00","(null)","(null)","Текущий счёт","D","(null)","381b0b043094c8cf1fc0e5ecd17a4461","Ж",19
"21768","183e4c1ed3172b0726604d2a4391660d","790aeaaaad2f32b22d595fecbee64b2f","(null)","0",0,"0","2013-09-27 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","М",20
"21950","1864b5f71158d077658139c31371b100","70cd8748e2bcc1d4bcec28d1d0d70bdf","(null)","0",0,"0","2013-09-19 00:00:00","(null)","(null)","Текущий счёт","D","(null)","381b0b043094c8cf1fc0e5ecd17a4461","М",19
"21951","1864b5f71158d077658139c31371b100","41125a209f300c142db3be8eceb3dcfd","(null)","(null)",0,"18","2014-10-07 00:00:00","(null)","(null)","Овердрафт","C","0","381b0b043094c8cf1fc0e5ecd17a4461","М",19
"22000","1872b35864f575d47da3dd660fbf21b2","b5243f361e12f8e8528e1ed85c99545c","(null)","0",5000,"0","2014-09-06 00:00:00","(null)","(null)","Текущий счёт","D","(null)","8df3acb67e47faaeb753cc9a4c6ced3e","М",20
"22038","187bfd923a8c0bcc24d8de66cc0c8c36","b81f33de6e3e7448590743a41a0ce059","(null)","0",34000,"0","2014-09-12 00:00:00","(null)","(null)","Текущий счёт","D","(null)","97fa64500457edb6fe17b0acdaf218b2","Ж",20
"22039","187cf59c657e42554dfa9124e8947599","5bab96f1640f8e57c80db93bc418a58b","(null)","0",0,"0","2013-09-14 00:00:00","(null)","(null)","Текущий счёт","D","(null)","3dfbcfdf96da35c17688cd96b5a94578","Ж",19
"22174","18934e34b2a014c84e9319953a6f7494","126e5cb5ce81918e4d8fa4565e763a7a","(null)","0",0,"0","2016-03-03 00:00:00","(null)","(null)","Текущий счёт","D","(null)","263c6b32daca30743034adbd1f68a5fc","М",19
"22175","18934e34b2a014c84e9319953a6f7494","18b4a51d1ffb381b576ac187629f2639","(null)","0",0,"0","2014-09-23 00:00:00","(null)","(null)","Текущий счёт","D","(null)","263c6b32daca30743034adbd1f68a5fc","М",19
"22309","18b1740d30648aef445bb5e6b191214e","6bb927c8d976c8887ebce75ab225e27f","(null)","0",100,"0","2010-11-10 00:00:00","(null)","(null)","Текущий счёт","D","(null)","14aa590a6630a7dd9a4233b8b8182100","Ж",24
"22310","18b1740d30648aef445bb5e6b191214e","9225189d9db9069969a4a8a83a511ce1","(null)","0",0,"0","2013-12-12 00:00:00","(null)","2015-05-23 00:00:00","Текущий счёт","D","(null)","14aa590a6630a7dd9a4233b8b8182100","Ж",24
"22348","18bb14e71c27432f0b64beca74f18b0f","e70f9938afea578fa1b7944fbc08a40a","(null)","100",0,"0","2014-10-28 00:00:00","(null)","(null)","Текущий счёт","D","(null)","b628d7d2ba91a097a131c51788e8c4ea","Ж",21
"22372","18c9168fb751152da265753073889320","c16526c6d6591a1ad56dc4fbf9c1b547","(null)","0",1900,"0","2013-01-12 00:00:00","(null)","(null)","Текущий счёт","D","(null)","8215444bab327ec0f170d0ef7296c026","Ж",22
"22374","18ce678c0969dc47a2a06e858c9db7fd","3fe61cf3cfe778ace8ce0052b2026ca2","(null)","0",3500,"0","2014-10-17 00:00:00","(null)","(null)","Текущий счёт","D","(null)","71e1e42d79887c04b571828357d5f37e","М",20
"22586","1905d77805177f1dc93afa8d959709f4","03f09ecb7ed25ae447c669ced29bf863","(null)","0",100,"0","2011-09-30 00:00:00","(null)","(null)","Текущий счёт","D","(null)","1ca2d30ce0631cee23b98dfc2d24bdcf","Ж",23
"22627","19176c4a729b3f4091558924f8777186","89afbb3b5d53f26ff1ba7740a1121cab","(null)","(null)",0,"18","2015-04-29 00:00:00","(null)","(null)","Овердрафт","C","0","385043f3881c79a5959ab4c3145f8aa8","Ж",19
"22628","19176c4a729b3f4091558924f8777186","291b709e8d94c68d50b141213c07347d","(null)","0",0,"0","2012-10-17 00:00:00","(null)","(null)","Текущий счёт","D","(null)","385043f3881c79a5959ab4c3145f8aa8","Ж",19
"22694","1924861cd7c5f1933ae99a5415a4015b","75cf338f1fb97d8d57a39cea8025e9b5","(null)","200",0,"0","2014-04-08 00:00:00","(null)","2016-08-28 00:00:00","Текущий счёт","D","(null)","71e1e42d79887c04b571828357d5f37e","М",24
"22695","1924861cd7c5f1933ae99a5415a4015b","53eacf333d84cbada0deb4a049e58aeb","(null)","0",4900,"0","2014-09-30 00:00:00","(null)","(null)","Текущий счёт","D","(null)","71e1e42d79887c04b571828357d5f37e","М",24
"22831","193d3f505505172d016f4a24bef9d405","f543f1ed7a7fefce50dee500a8cc278d","(null)","0",0,"0","2012-03-30 00:00:00","(null)","(null)","Текущий счёт","D","(null)","71e1e42d79887c04b571828357d5f37e","М",23
"22843","193f157489c9989847dd33374d69a9f1","a87417a62375a8245ebb499d19c81f46","(null)","0",0,"0","2010-10-27 00:00:00","(null)","(null)","Текущий счёт","D","(null)","309e6b5acaa01d889ed303cf65a72dbe","Ж",23
